Câmpus;Curso;Cotas;Forma de ingresso;Numero de pessoas;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);16;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L13 (SGC L6) - Candidatos com deficiência que, independente da renda(art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);12;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;22;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);12;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L9 (SGC L5) - Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);1;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Transferência Compulsória;0;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Transferência de Curso (Interno - mesmo campus);13;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Transferência Facultativa;19;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Transferência Intercampi;7;
Campos do Jordão;Cursos Anuais - 2022;N;Ampla Concorrência (Geral);77;
Campos do Jordão;Cursos Anuais - 2022;N;Ampla Concorrência (Vestibular);65;
Campos do Jordão;Cursos Anuais - 2022;S;Escola Pública;18;
Campos do Jordão;Cursos Anuais - 2022;S;Escola Pública + PPI;9;
Campos do Jordão;Cursos Anuais - 2022;S;Escola Pública + Renda;24;
Campos do Jordão;Cursos Anuais - 2022;S;Escola Pública + Renda + PCD;2;
Campos do Jordão;Cursos Anuais - 2022;S;Escola Pública + Renda + PPI;12;
Campos do Jordão;Cursos Anuais - 2022;N;Processo Seletivo Simplificado - Ampla Concorrência;14;
Campos do Jordão;Cursos Anuais - 2022;O;Transferência Facultativa;2;
Campos do Jordão;Cursos Semestrais 2022 - Primeiro Semestre;N;Ampla Concorrência (Geral);27;
Campos do Jordão;Cursos Semestrais 2022 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);8;
Campos do Jordão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + PPI;1;
Campos do Jordão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda;2;
Campos do Jordão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI;2;
Campos do Jordão;Cursos Semestrais 2022 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;60;
Campos do Jordão;Cursos Semestrais 2023 - Primeiro Semestre;N;Ampla Concorrência (Geral);25;
Campos do Jordão;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + Renda + PPI;2;
Campos do Jordão;Cursos Semestrais 2023 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;59;
Campos do Jordão;Cursos Semestrais 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Deficiência (L6);1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência (Geral);82;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);7;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência SISU;49;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública;17;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + PPI;4;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + Renda;14;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI;8;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Exame de Seleção;18;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Ingresso de portador de diploma de graduação;3;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Processo Seletivo Simplificado;31;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;158;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Reingresso;1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Seleção Geral Graduação (SiSU);71;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);26;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L14 (SGC L8) - Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independente da renda (art 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);7;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;20;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);9;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência de Curso (Interno - mesmo campus);2;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência Facultativa;4;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência (Geral);59;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);3;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência SISU;72;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública;13;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + Renda;9;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + Renda + PPI;5;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Exame de Seleção;8;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Ingresso de portador de diploma de graduação;8;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Processo Seletivo Simplificado;19;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;171;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Deficiência (L6);4;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Reingresso;1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Seleção Geral Graduação (SiSU);49;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Seleção Geral Graduação Vestibular/ENEM;1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);26;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L14 (SGC L8) - Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independente da renda (art 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);7;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;28;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);12;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Transferência de Curso (Interno - mesmo campus);5;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Transferência Facultativa;5;
Campos do Jordão;Cursos Anuais - 2023;N;Ampla Concorrência (Geral);111;
Campos do Jordão;Cursos Anuais - 2023;N;Ampla Concorrência (Vestibular);3;
Campos do Jordão;Cursos Anuais - 2023;S;Escola Pública;29;
Campos do Jordão;Cursos Anuais - 2023;S;Escola Pública + PPI;15;
Campos do Jordão;Cursos Anuais - 2023;S;Escola Pública + Renda;33;
Campos do Jordão;Cursos Anuais - 2023;S;Escola Pública + Renda + PCD;3;
Campos do Jordão;Cursos Anuais - 2023;S;Escola Pública + Renda + PPI;20;
Campos do Jordão;Cursos Anuais - 2023;N;Processo Seletivo Simplificado - Ampla Concorrência;13;
Campos do Jordão;Cursos Anuais - 2023;O;Transferência Facultativa;2;
Campos do Jordão;Cursos Semestrais 2022 - Segundo Semestre;N;Ampla Concorrência (Geral);20;
Campos do Jordão;Cursos Semestrais 2022 - Segundo Semestre;N;Ampla Concorrência (Vestibular);3;
Campos do Jordão;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + PPI;1;
Campos do Jordão;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + Renda;1;
Campos do Jordão;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + Renda + PPI;2;
Campos do Jordão;Cursos Semestrais 2022 - Segundo Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;50;
Campos do Jordão;Cursos Semestrais 2023 - Segundo Semestre;N;Ampla Concorrência (Geral);21;
Campos do Jordão;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública + Renda + PPI;2;
Campos do Jordão;Cursos Semestrais 2023 - Segundo Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;40;
Campos do Jordão;Cursos Semestrais 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Deficiência (L6);1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Ampla Concorrência (Geral);72;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Ampla Concorrência (Vestibular);6;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Ampla Concorrência SISU;47;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública;13;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + PPI;3;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + Renda;11;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + Renda + PPI;7;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Exame de Seleção;14;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Ingresso de portador de diploma de graduação;8;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Processo Seletivo Simplificado;27;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;159;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Reingresso;1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Seleção Geral Graduação (SiSU);59;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);25;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L14 (SGC L8) - Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independente da renda (art 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);6;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;19;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);7;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Transferência de Curso (Interno - mesmo campus);2;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Transferência Facultativa;5;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Ampla Concorrência (Geral);64;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Ampla Concorrência (Vestibular);1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Ampla Concorrência SISU;61;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública;12;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + Renda;8;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + Renda + PPI;5;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Exame de Seleção;6;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Ingresso de portador de diploma de graduação;11;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Processo Seletivo Simplificado;14;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;168;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Deficiência (L6);4;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Reingresso;1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Seleção Geral Graduação (SiSU);40;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Seleção Geral Graduação Vestibular/ENEM;1;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);21;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);6;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;24;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);12;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Transferência de Curso (Interno - mesmo campus);5;
Campos do Jordão;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Transferência Facultativa;6;
Cubatão;Cursos Anuais - 2022;N;Ampla Concorrência (Geral);182;
Cubatão;Cursos Anuais - 2022;N;Ampla Concorrência (Vestibular);203;
Cubatão;Cursos Anuais - 2022;S;Escola Pública;49;
Cubatão;Cursos Anuais - 2022;S;Escola Pública + PCD;1;
Cubatão;Cursos Anuais - 2022;S;Escola Pública + PPI;34;
Cubatão;Cursos Anuais - 2022;S;Escola Pública + Renda;47;
Cubatão;Cursos Anuais - 2022;S;Escola Pública + Renda + PCD;4;
Cubatão;Cursos Anuais - 2022;S;Escola Pública + Renda + PPI;35;
Cubatão;Cursos Anuais - 2022;S;Escola Pública + Renda + PPI + PCD;3;
Cubatão;Cursos Anuais - 2022;N;Processo Seletivo Simplificado - Ampla Concorrência;27;
Cubatão;Cursos Anuais - 2022;S;Processo Seletivo Simplificado - Escola Pública (L3);7;
Cubatão;Cursos Anuais - 2022;S;Processo Seletivo Simplificado - Escola Pública/Etnia (L4);5;
Cubatão;Cursos Anuais - 2022;S;Processo Seletivo Simplificado - Escola Pública/Etnia/Deficiência (L8);1;
Cubatão;Cursos Anuais - 2022;S;Processo Seletivo Simplificado - Escola Pública/Renda (L1);7;
Cubatão;Cursos Anuais - 2022;S;Processo Seletivo Simplificado - Escola Pública/Renda/Deficiência (L5);4;
Cubatão;Cursos Anuais - 2022;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia (L2);6;
Cubatão;Cursos Anuais - 2022;O;Transferência Compulsória;1;
Cubatão;Cursos Anuais - 2022;O;Transferência de Curso (Interno - mesmo campus);3;
Cubatão;Cursos Anuais - 2022;O;Transferência Intercampi;3;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;N;Ampla Concorrência (Geral);80;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);25;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública;21;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + PPI;13;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda;19;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda + PCD;1;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI;11;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI + PCD;1;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;20;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;O;Transferência Compulsória;3;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;O;Transferência de Curso (Interno - mesmo campus);2;
Cubatão;Cursos Semestrais 2022 - Primeiro Semestre;O;Transferência Intercampi;1;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;N;Ampla Concorrência (Geral);75;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);12;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública;21;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + PPI;13;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + PPI + PCD;1;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + Renda;18;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;S;Escola Pública + Renda + PPI;13;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;15;
Cubatão;Cursos Semestrais 2023 - Primeiro Semestre;O;Transferência Compulsória;2;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência (Geral);99;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);19;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Ampla Concorrência SISU;305;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública;23;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + PPI;15;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + Renda;25;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Escola Pública + Renda + PPI;16;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Exame de Seleção;1;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Ingresso de portador de diploma de graduação;21;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Matrícula Direta;1;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;61;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Reingresso;1;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Reopção;1;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Seleção Geral Graduação (SiSU);110;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);85;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L10 (SGC L7) - Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, COM renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);4;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L13 (SGC L6) - Candidatos com deficiência que, independente da renda(art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);8;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L14 (SGC L8) - Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independente da renda (art 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);4;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);61;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;80;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);58;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L9 (SGC L5) - Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);5;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência Compulsória;1;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência de Curso (Interno - mesmo campus);48;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência Facultativa;10;
Cubatão;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência Intercampi;10;
Cubatão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência (Geral);69;
Cubatão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);7;
Cubatão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência SISU;255;
Cubatão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública;17;
Cubatão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + PPI;12;
Cubatão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + Renda;19;
Cubatão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + Renda + PPI;14;
Cubatão;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Ingresso de portador de diploma de graduação;15;
